what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1379435445671
java.runtime.version,sysinfo,,,"1.6.0_51-b11-457-11M4509",1379435445671
java.specification.name,sysinfo,,,"Java Platform API Specification",1379435445671
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1379435445671
java.specification.version,sysinfo,,,"1.6",1379435445671
java.vendor,sysinfo,,,"Apple Inc.",1379435445671
java.version,sysinfo,,,"1.6.0_51",1379435445671
java.vm.info,sysinfo,,,"mixed mode",1379435445671
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1379435445671
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1379435445671
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1379435445671
java.vm.specification.version,sysinfo,,,"1.0",1379435445671
java.vm.vendor,sysinfo,,,"Apple Inc.",1379435445671
java.vm.version,sysinfo,,,"20.51-b01-457",1379435445671
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1379435445677
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1379435445971
started,bundle,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.adt",1379435446043
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1379435446075
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1379435446078
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1379435446081
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379435531611
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1379435531618
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1379435536836
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1379435536858
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20110509,"org.eclipse.jdt.launching.macosx",1379435536868
error,log,,,"Exception occurred parsing property list",1379435536958
